assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
47,23,55,0.0,6,76,26,Bratt,0,16,8479407,0,73,0.96052,L,3,18,20212022,0,0,0.13197,L,197,Jesper Bratt,NJD,1045.8026
41,24,51,,3,82,32,Bratt,1,6,8479407,14,73,0.89024,L,8,22,20222023,0,0,0.15094000000000002,L,212,Jesper Bratt,NJD,1042.0487
25,7,25,0.57142,1,51,8,Bratt,0,6,8479407,-8,33,0.64705,L,1,8,20182019,0,0,0.08791,L,91,Jesper Bratt,NJD,910.0588
16,15,26,0.23076000000000002,2,60,16,Bratt,0,6,8479407,-6,32,0.5333300000000001,L,1,6,20192020,0,0,0.15841000000000002,L,101,Jesper Bratt,NJD,838.9666
23,5,21,0.33333,1,46,7,Bratt,1,8,8479407,4,30,0.65217,L,2,8,20202021,0,1,0.0693,L,101,Jesper Bratt,NJD,964.5652
76,19,64,0.5489700000000001,11,80,52,Draisaitl,1,24,8477934,7,128,1.6,C,32,62,20222023,1,2,0.21052,L,247,Leon Draisaitl,EDM,1304.0375
55,30,68,0.5340100000000001,11,80,55,Draisaitl,1,40,8477934,17,110,1.375,C,24,41,20212022,1,1,0.19784000000000002,L,278,Leon Draisaitl,EDM,1340.95
67,27,66,0.52088,10,71,43,Draisaitl,2,18,8477934,-7,110,1.54929,C,16,44,20192020,0,0,0.19724000000000003,L,218,Leon Draisaitl,EDM,1356.676
55,31,73,0.50522,5,82,50,Draisaitl,3,52,8477934,2,105,1.28048,C,16,29,20182019,3,3,0.21645000000000003,L,231,Leon Draisaitl,EDM,1355.4512
53,15,51,0.55674,8,56,31,Draisaitl,0,22,8477934,29,84,1.5,C,15,32,20202021,1,1,0.18452000000000002,L,168,Leon Draisaitl,EDM,1331.3035
65,23,69,0.5542100000000001,3,79,35,Crosby,1,36,8471675,18,100,1.26582,C,12,29,20182019,0,2,0.15909,L,220,Sidney Crosby,PIT,1259.5063
60,24,66,0.5297900000000001,9,82,33,Crosby,1,52,8471675,8,93,1.13414,C,9,27,20222023,0,0,0.12941,L,255,Sidney Crosby,PIT,1208.6097
53,23,54,0.5241300000000001,9,69,31,Crosby,1,32,8471675,19,84,1.21739,C,8,30,20212022,0,0,0.14903000000000002,L,208,Sidney Crosby,PIT,1198.4637
38,18,39,0.5356500000000001,5,55,24,Crosby,2,26,8471675,8,62,1.12727,C,5,22,20202021,1,1,0.15094000000000002,L,159,Sidney Crosby,PIT,1223.8909
31,12,30,0.5563,4,41,16,Crosby,2,15,8471675,-8,47,1.14634,C,4,17,20192020,0,0,0.14678000000000002,L,109,Sidney Crosby,PIT,1216.0975
57,15,60,0.49866000000000005,6,72,20,Thomas,1,16,8480023,17,77,1.06944,C,3,14,20212022,2,3,0.17391,R,115,Robert Thomas,STL,1126.4027
47,12,42,0.52907,2,73,18,Thomas,1,22,8480023,-8,65,0.89041,C,5,22,20222023,1,1,0.16981000000000002,R,106,Robert Thomas,STL,1160.6027
32,9,35,0.42902,2,66,10,Thomas,0,18,8480023,9,42,0.63636,C,1,7,20192020,0,0,0.11494000000000001,R,87,Robert Thomas,STL,873.8181
24,6,26,0.4409,0,70,9,Thomas,0,14,8480023,-2,33,0.47142000000000006,C,3,7,20182019,0,0,0.1125,R,80,Robert Thomas,STL,784.3571
9,3,12,0.42585000000000006,1,33,3,Thomas,0,10,8480023,1,12,0.36363,C,0,0,20202021,0,0,0.13636,R,22,Robert Thomas,STL,816.1818
44,31,65,0.50729,9,82,51,Point,1,7,8478010,2,95,1.15853,C,20,30,20222023,0,0,0.21702000000000002,R,235,Brayden Point,TBL,1180.1829
51,21,57,0.50817,7,79,41,Point,2,28,8478010,27,92,1.16455,C,20,35,20182019,0,0,0.21465,R,191,Brayden Point,TBL,1135.1392
39,17,51,0.51093,4,66,25,Point,0,11,8478010,28,64,0.96969,C,8,13,20192020,0,0,0.1773,R,141,Brayden Point,TBL,1134.106
30,18,36,0.51046,4,66,28,Point,2,33,8478010,-5,58,0.8787800000000001,C,10,22,20212022,0,0,0.15909,R,176,Brayden Point,TBL,1167.7121
25,17,33,0.49423000000000006,6,56,23,Point,1,11,8478010,2,48,0.8571400000000001,C,6,15,20202021,0,0,0.17557,R,131,Brayden Point,TBL,1106.1607
54,20,56,0.47007000000000004,2,77,28,Eichel,2,26,8478403,-11,82,1.06493,C,8,26,20182019,0,0,0.09240000000000001,R,303,Jack Eichel,BUF,1226.4805
42,24,50,0.46834000000000003,9,68,36,Eichel,3,34,8478403,5,78,1.1470500000000001,C,11,27,20192020,1,1,0.15859,R,227,Jack Eichel,BUF,1326.0588
